year,Lanier
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,0
1916,5
1917,6
1918,9
1919,7
1920,14
1921,0
1922,10
1923,18
1924,18
1925,13
1926,15
1927,18
1928,10
1929,8
1930,6
1931,9
1932,12
1933,0
1934,7
1935,11
1936,11
1937,15
1938,8
1939,11
1940,12
1941,11
1942,13
1943,14
1944,16
1945,12
1946,16
1947,9
1948,12
1949,15
1950,9
1951,14
1952,19
1953,10
1954,17
1955,12
1956,12
1957,10
1958,15
1959,6
1960,11
1961,10
1962,11
1963,8
1964,11
1965,14
1966,11
1967,7
1968,15
1969,13
1970,8
1971,13
1972,24
1973,12
1974,14
1975,6
1976,12
1977,12
1978,8
1979,13
1980,9
1981,8
1982,8
1983,12
1984,16
1985,9
1986,10
1987,17
1988,8
1989,18
1990,8
1991,10
1992,8
1993,7
1994,7
1995,7
1996,18
1997,11
1998,8
1999,17
2000,6
2001,5
2002,0
2003,0
2004,13
2005,15
2006,10
2007,8
2008,0
2009,11
2010,9
2011,18
2012,8
