year,Loreen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,6
1901,0
1902,0
1903,0
1904,9
1905,7
1906,6
1907,0
1908,5
1909,5
1910,0
1911,0
1912,8
1913,9
1914,5
1915,18
1916,18
1917,15
1918,13
1919,28
1920,26
1921,16
1922,28
1923,18
1924,22
1925,25
1926,28
1927,26
1928,28
1929,25
1930,17
1931,21
1932,21
1933,17
1934,22
1935,17
1936,24
1937,25
1938,23
1939,30
1940,35
1941,41
1942,28
1943,46
1944,34
1945,51
1946,56
1947,70
1948,77
1949,68
1950,51
1951,68
1952,57
1953,74
1954,103
1955,99
1956,98
1957,106
1958,115
1959,94
1960,126
1961,124
1962,102
1963,116
1964,128
1965,89
1966,87
1967,87
1968,75
1969,60
1970,62
1971,44
1972,35
1973,25
1974,17
1975,18
1976,19
1977,28
1978,18
1979,9
1980,18
1981,17
1982,18
1983,16
1984,14
1985,16
1986,19
1987,11
1988,11
1989,7
1990,12
1991,9
1992,8
1993,10
1994,7
1995,0
1996,7
1997,7
1998,9
1999,0
2000,6
2001,7
2002,5
2003,0
2004,0
2005,0
2006,0
2007,9
2008,5
2009,0
2010,0
2011,8
2012,8
