year,Lon
1880,64
1881,27
1882,52
1883,51
1884,54
1885,38
1886,58
1887,49
1888,55
1889,43
1890,46
1891,29
1892,42
1893,33
1894,25
1895,31
1896,38
1897,33
1898,23
1899,14
1900,34
1901,13
1902,26
1903,23
1904,15
1905,9
1906,15
1907,10
1908,16
1909,9
1910,14
1911,13
1912,24
1913,41
1914,47
1915,54
1916,55
1917,56
1918,69
1919,47
1920,46
1921,90
1922,58
1923,79
1924,75
1925,59
1926,73
1927,70
1928,62
1929,58
1930,72
1931,54
1932,66
1933,56
1934,62
1935,56
1936,69
1937,79
1938,60
1939,73
1940,90
1941,77
1942,81
1943,81
1944,91
1945,111
1946,146
1947,271
1948,274
1949,227
1950,234
1951,238
1952,242
1953,260
1954,229
1955,251
1956,236
1957,234
1958,229
1959,247
1960,225
1961,193
1962,191
1963,178
1964,198
1965,154
1966,141
1967,162
1968,163
1969,130
1970,150
1971,146
1972,99
1973,93
1974,86
1975,73
1976,67
1977,69
1978,65
1979,51
1980,57
1981,46
1982,35
1983,44
1984,42
1985,37
1986,27
1987,22
1988,26
1989,31
1990,40
1991,15
1992,17
1993,11
1994,10
1995,11
1996,19
1997,8
1998,17
1999,0
2000,13
2001,14
2002,15
2003,0
2004,7
2005,0
2006,9
2007,5
2008,9
2009,6
2010,0
2011,5
2012,9
