year,Lara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,5
1892,5
1893,0
1894,5
1895,0
1896,0
1897,5
1898,5
1899,5
1900,7
1901,0
1902,0
1903,0
1904,6
1905,0
1906,8
1907,7
1908,7
1909,6
1910,8
1911,12
1912,10
1913,6
1914,6
1915,14
1916,19
1917,15
1918,17
1919,13
1920,18
1921,15
1922,18
1923,15
1924,20
1925,26
1926,21
1927,24
1928,15
1929,17
1930,18
1931,19
1932,13
1933,10
1934,13
1935,15
1936,18
1937,11
1938,11
1939,10
1940,12
1941,13
1942,9
1943,7
1944,13
1945,8
1946,15
1947,12
1948,17
1949,15
1950,17
1951,20
1952,20
1953,19
1954,29
1955,18
1956,31
1957,22
1958,32
1959,35
1960,49
1961,55
1962,61
1963,79
1964,57
1965,65
1966,237
1967,950
1968,1294
1969,1359
1970,1337
1971,1053
1972,830
1973,661
1974,600
1975,638
1976,775
1977,660
1978,560
1979,500
1980,577
1981,584
1982,627
1983,517
1984,507
1985,487
1986,538
1987,538
1988,559
1989,477
1990,448
1991,379
1992,351
1993,275
1994,287
1995,260
1996,270
1997,242
1998,258
1999,278
2000,261
2001,336
2002,402
2003,349
2004,359
2005,319
2006,321
2007,289
2008,291
2009,286
2010,300
2011,278
2012,312
