year,Leora
1880,28
1881,23
1882,29
1883,27
1884,26
1885,21
1886,33
1887,30
1888,40
1889,31
1890,51
1891,34
1892,47
1893,51
1894,62
1895,56
1896,49
1897,61
1898,58
1899,59
1900,71
1901,70
1902,69
1903,80
1904,85
1905,62
1906,88
1907,64
1908,81
1909,99
1910,104
1911,121
1912,134
1913,150
1914,162
1915,223
1916,243
1917,233
1918,235
1919,247
1920,214
1921,255
1922,245
1923,215
1924,252
1925,218
1926,210
1927,212
1928,172
1929,172
1930,154
1931,154
1932,146
1933,131
1934,122
1935,120
1936,120
1937,120
1938,120
1939,117
1940,94
1941,90
1942,107
1943,84
1944,85
1945,69
1946,74
1947,88
1948,68
1949,69
1950,89
1951,65
1952,71
1953,55
1954,47
1955,67
1956,65
1957,70
1958,63
1959,55
1960,61
1961,48
1962,55
1963,50
1964,48
1965,56
1966,36
1967,37
1968,33
1969,42
1970,34
1971,37
1972,32
1973,35
1974,30
1975,35
1976,31
1977,35
1978,40
1979,24
1980,44
1981,68
1982,33
1983,44
1984,32
1985,35
1986,36
1987,45
1988,35
1989,28
1990,42
1991,35
1992,37
1993,30
1994,38
1995,33
1996,33
1997,38
1998,50
1999,41
2000,56
2001,33
2002,45
2003,58
2004,55
2005,41
2006,52
2007,68
2008,51
2009,63
2010,76
2011,66
2012,70
