year,Lynda
1880,0
1881,0
1882,5
1883,0
1884,5
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,6
1893,9
1894,0
1895,7
1896,9
1897,0
1898,8
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,6
1907,12
1908,6
1909,12
1910,6
1911,5
1912,11
1913,13
1914,15
1915,18
1916,23
1917,16
1918,24
1919,17
1920,19
1921,22
1922,25
1923,28
1924,22
1925,29
1926,30
1927,24
1928,44
1929,39
1930,29
1931,46
1932,58
1933,68
1934,77
1935,110
1936,203
1937,299
1938,540
1939,764
1940,1265
1941,1499
1942,2115
1943,2421
1944,2369
1945,2479
1946,3006
1947,4849
1948,4175
1949,3831
1950,3307
1951,3031
1952,2810
1953,2309
1954,2029
1955,1883
1956,1760
1957,1818
1958,1746
1959,2033
1960,2123
1961,2035
1962,1768
1963,1594
1964,1983
1965,1605
1966,1309
1967,1146
1968,1121
1969,1015
1970,849
1971,681
1972,531
1973,444
1974,360
1975,336
1976,297
1977,289
1978,304
1979,266
1980,312
1981,335
1982,333
1983,241
1984,225
1985,200
1986,190
1987,169
1988,145
1989,140
1990,148
1991,138
1992,97
1993,128
1994,110
1995,104
1996,81
1997,79
1998,83
1999,89
2000,88
2001,73
2002,63
2003,69
2004,64
2005,73
2006,83
2007,55
2008,67
2009,48
2010,45
2011,38
2012,46
