year,Leanora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,8
1901,0
1902,7
1903,9
1904,6
1905,11
1906,5
1907,5
1908,8
1909,0
1910,9
1911,7
1912,9
1913,16
1914,11
1915,27
1916,20
1917,17
1918,14
1919,27
1920,19
1921,23
1922,19
1923,19
1924,20
1925,19
1926,16
1927,28
1928,21
1929,20
1930,18
1931,12
1932,11
1933,13
1934,9
1935,14
1936,0
1937,9
1938,19
1939,13
1940,16
1941,16
1942,16
1943,18
1944,14
1945,9
1946,11
1947,11
1948,20
1949,17
1950,17
1951,16
1952,22
1953,14
1954,18
1955,17
1956,25
1957,26
1958,24
1959,22
1960,17
1961,17
1962,14
1963,15
1964,16
1965,8
1966,15
1967,11
1968,13
1969,5
1970,0
1971,9
1972,7
1973,7
1974,6
1975,9
1976,9
1977,0
1978,0
1979,12
1980,14
1981,7
1982,8
1983,9
1984,10
1985,5
1986,0
1987,6
1988,6
1989,10
1990,6
1991,0
1992,0
1993,6
1994,0
1995,5
1996,6
1997,5
1998,5
1999,0
2000,7
2001,0
2002,5
2003,6
2004,0
2005,8
2006,10
2007,6
2008,5
2009,7
2010,0
2011,10
2012,11
