year,Lucinda
1880,63
1881,88
1882,93
1883,92
1884,86
1885,84
1886,90
1887,92
1888,97
1889,84
1890,101
1891,98
1892,122
1893,87
1894,104
1895,98
1896,124
1897,96
1898,118
1899,94
1900,123
1901,95
1902,91
1903,92
1904,101
1905,107
1906,106
1907,105
1908,112
1909,103
1910,123
1911,120
1912,146
1913,159
1914,138
1915,182
1916,215
1917,186
1918,185
1919,188
1920,201
1921,168
1922,182
1923,202
1924,164
1925,179
1926,163
1927,139
1928,157
1929,159
1930,141
1931,111
1932,129
1933,119
1934,132
1935,141
1936,128
1937,157
1938,157
1939,169
1940,203
1941,273
1942,282
1943,334
1944,313
1945,360
1946,411
1947,597
1948,750
1949,842
1950,792
1951,798
1952,907
1953,976
1954,998
1955,845
1956,925
1957,1028
1958,903
1959,823
1960,809
1961,811
1962,722
1963,678
1964,689
1965,614
1966,521
1967,505
1968,592
1969,757
1970,624
1971,527
1972,420
1973,359
1974,349
1975,318
1976,287
1977,242
1978,251
1979,265
1980,285
1981,293
1982,244
1983,231
1984,228
1985,231
1986,200
1987,163
1988,156
1989,170
1990,158
1991,136
1992,109
1993,103
1994,98
1995,93
1996,92
1997,112
1998,74
1999,134
2000,110
2001,111
2002,144
2003,127
2004,116
2005,128
2006,137
2007,165
2008,182
2009,166
2010,190
2011,165
2012,184
