year,Lawerence
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,8
1895,9
1896,7
1897,7
1898,5
1899,6
1900,8
1901,7
1902,5
1903,6
1904,7
1905,6
1906,5
1907,8
1908,15
1909,14
1910,9
1911,11
1912,21
1913,25
1914,43
1915,51
1916,70
1917,60
1918,87
1919,64
1920,62
1921,69
1922,64
1923,71
1924,86
1925,76
1926,78
1927,77
1928,83
1929,64
1930,74
1931,57
1932,63
1933,75
1934,71
1935,85
1936,77
1937,64
1938,76
1939,90
1940,67
1941,71
1942,90
1943,83
1944,87
1945,68
1946,88
1947,88
1948,94
1949,125
1950,111
1951,109
1952,93
1953,99
1954,98
1955,110
1956,92
1957,105
1958,78
1959,62
1960,62
1961,51
1962,53
1963,35
1964,44
1965,35
1966,36
1967,34
1968,27
1969,39
1970,30
1971,25
1972,17
1973,20
1974,16
1975,26
1976,21
1977,19
1978,18
1979,18
1980,21
1981,15
1982,24
1983,14
1984,11
1985,21
1986,18
1987,19
1988,14
1989,7
1990,11
1991,17
1992,12
1993,6
1994,13
1995,10
1996,14
1997,9
1998,0
1999,10
2000,11
2001,11
2002,6
2003,7
2004,0
2005,5
2006,6
2007,6
2008,0
2009,5
2010,6
2011,0
2012,0
