year,Liza
1880,18
1881,23
1882,16
1883,20
1884,18
1885,19
1886,27
1887,26
1888,28
1889,28
1890,40
1891,26
1892,30
1893,23
1894,27
1895,20
1896,27
1897,25
1898,22
1899,31
1900,26
1901,21
1902,30
1903,20
1904,15
1905,21
1906,29
1907,18
1908,23
1909,22
1910,42
1911,32
1912,35
1913,35
1914,30
1915,28
1916,31
1917,44
1918,41
1919,29
1920,31
1921,22
1922,29
1923,40
1924,44
1925,34
1926,36
1927,32
1928,26
1929,12
1930,25
1931,32
1932,23
1933,27
1934,20
1935,24
1936,18
1937,17
1938,19
1939,23
1940,27
1941,22
1942,21
1943,34
1944,22
1945,34
1946,37
1947,39
1948,28
1949,35
1950,58
1951,55
1952,57
1953,62
1954,61
1955,65
1956,42
1957,98
1958,113
1959,153
1960,135
1961,210
1962,200
1963,230
1964,287
1965,348
1966,340
1967,317
1968,313
1969,314
1970,409
1971,340
1972,374
1973,518
1974,392
1975,444
1976,432
1977,497
1978,417
1979,449
1980,459
1981,421
1982,394
1983,323
1984,286
1985,243
1986,221
1987,233
1988,240
1989,264
1990,218
1991,223
1992,193
1993,184
1994,183
1995,170
1996,183
1997,142
1998,157
1999,145
2000,140
2001,156
2002,133
2003,145
2004,114
2005,116
2006,103
2007,104
2008,107
2009,126
2010,93
2011,101
2012,108
