year,Leola
1880,24
1881,36
1882,47
1883,51
1884,59
1885,53
1886,49
1887,38
1888,72
1889,102
1890,92
1891,89
1892,122
1893,107
1894,128
1895,135
1896,141
1897,121
1898,169
1899,151
1900,235
1901,176
1902,207
1903,204
1904,244
1905,319
1906,273
1907,310
1908,321
1909,326
1910,423
1911,363
1912,514
1913,511
1914,567
1915,669
1916,780
1917,713
1918,778
1919,830
1920,855
1921,793
1922,778
1923,683
1924,764
1925,756
1926,647
1927,643
1928,596
1929,583
1930,529
1931,466
1932,493
1933,407
1934,413
1935,426
1936,404
1937,354
1938,379
1939,363
1940,321
1941,319
1942,300
1943,287
1944,267
1945,267
1946,241
1947,236
1948,218
1949,237
1950,243
1951,228
1952,190
1953,194
1954,182
1955,158
1956,152
1957,150
1958,130
1959,113
1960,119
1961,101
1962,102
1963,75
1964,77
1965,53
1966,59
1967,46
1968,45
1969,51
1970,57
1971,45
1972,30
1973,25
1974,42
1975,32
1976,41
1977,44
1978,33
1979,23
1980,38
1981,24
1982,24
1983,31
1984,19
1985,16
1986,16
1987,18
1988,17
1989,22
1990,21
1991,15
1992,11
1993,13
1994,7
1995,14
1996,5
1997,8
1998,5
1999,6
2000,9
2001,0
2002,12
2003,14
2004,10
2005,8
2006,18
2007,15
2008,17
2009,13
2010,12
2011,14
2012,15
