year,Leonia
1880,0
1881,0
1882,6
1883,5
1884,0
1885,5
1886,5
1887,0
1888,8
1889,6
1890,6
1891,8
1892,8
1893,8
1894,11
1895,11
1896,9
1897,7
1898,9
1899,10
1900,18
1901,14
1902,16
1903,20
1904,13
1905,16
1906,14
1907,14
1908,13
1909,23
1910,19
1911,14
1912,23
1913,17
1914,25
1915,33
1916,36
1917,31
1918,41
1919,32
1920,30
1921,21
1922,41
1923,40
1924,30
1925,32
1926,31
1927,32
1928,35
1929,23
1930,31
1931,18
1932,20
1933,25
1934,29
1935,22
1936,24
1937,21
1938,23
1939,11
1940,19
1941,19
1942,18
1943,21
1944,15
1945,15
1946,15
1947,20
1948,12
1949,7
1950,22
1951,15
1952,21
1953,11
1954,19
1955,8
1956,16
1957,11
1958,6
1959,0
1960,8
1961,0
1962,6
1963,6
1964,12
1965,10
1966,9
1967,13
1968,0
1969,6
1970,6
1971,5
1972,5
1973,7
1974,5
1975,0
1976,0
1977,8
1978,5
1979,5
1980,6
1981,9
1982,0
1983,0
1984,5
1985,0
1986,6
1987,0
1988,6
1989,8
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,6
2010,0
2011,6
2012,0
