year,Loran
1880,5
1881,0
1882,5
1883,0
1884,8
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,5
1892,0
1893,0
1894,9
1895,7
1896,0
1897,5
1898,8
1899,6
1900,10
1901,8
1902,13
1903,7
1904,6
1905,7
1906,0
1907,13
1908,8
1909,8
1910,13
1911,12
1912,29
1913,25
1914,39
1915,67
1916,46
1917,64
1918,61
1919,62
1920,62
1921,62
1922,67
1923,64
1924,53
1925,63
1926,62
1927,53
1928,52
1929,71
1930,66
1931,47
1932,64
1933,53
1934,59
1935,40
1936,65
1937,62
1938,36
1939,47
1940,44
1941,52
1942,63
1943,79
1944,53
1945,46
1946,48
1947,63
1948,55
1949,50
1950,51
1951,50
1952,52
1953,40
1954,49
1955,53
1956,49
1957,50
1958,51
1959,54
1960,57
1961,78
1962,50
1963,47
1964,46
1965,58
1966,38
1967,45
1968,36
1969,40
1970,38
1971,28
1972,31
1973,30
1974,29
1975,22
1976,25
1977,24
1978,14
1979,26
1980,40
1981,21
1982,21
1983,30
1984,35
1985,36
1986,41
1987,38
1988,41
1989,51
1990,43
1991,43
1992,47
1993,41
1994,33
1995,30
1996,22
1997,28
1998,36
1999,23
2000,34
2001,32
2002,25
2003,22
2004,24
2005,20
2006,25
2007,15
2008,16
2009,8
2010,13
2011,13
2012,7
