year,Louisa
1880,126
1881,142
1882,128
1883,143
1884,147
1885,138
1886,136
1887,138
1888,152
1889,170
1890,168
1891,125
1892,140
1893,129
1894,139
1895,112
1896,138
1897,109
1898,111
1899,101
1900,144
1901,99
1902,87
1903,96
1904,103
1905,83
1906,78
1907,106
1908,101
1909,96
1910,84
1911,96
1912,90
1913,159
1914,173
1915,188
1916,225
1917,207
1918,193
1919,205
1920,192
1921,199
1922,170
1923,184
1924,193
1925,200
1926,164
1927,153
1928,156
1929,158
1930,164
1931,119
1932,142
1933,126
1934,120
1935,102
1936,125
1937,112
1938,115
1939,102
1940,135
1941,123
1942,104
1943,117
1944,123
1945,112
1946,130
1947,159
1948,127
1949,155
1950,137
1951,139
1952,148
1953,162
1954,149
1955,145
1956,141
1957,122
1958,153
1959,143
1960,150
1961,156
1962,143
1963,146
1964,141
1965,145
1966,134
1967,110
1968,122
1969,125
1970,122
1971,118
1972,92
1973,101
1974,86
1975,98
1976,91
1977,100
1978,99
1979,98
1980,116
1981,126
1982,129
1983,115
1984,123
1985,99
1986,89
1987,99
1988,73
1989,104
1990,106
1991,108
1992,121
1993,89
1994,94
1995,95
1996,129
1997,112
1998,123
1999,106
2000,89
2001,102
2002,118
2003,99
2004,119
2005,116
2006,119
2007,126
2008,124
2009,139
2010,162
2011,197
2012,222
