year,Lake
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,5
1894,0
1895,0
1896,0
1897,5
1898,0
1899,10
1900,0
1901,0
1902,6
1903,0
1904,0
1905,5
1906,5
1907,0
1908,0
1909,0
1910,5
1911,7
1912,7
1913,0
1914,15
1915,20
1916,30
1917,24
1918,24
1919,32
1920,34
1921,27
1922,22
1923,22
1924,10
1925,12
1926,23
1927,15
1928,14
1929,9
1930,15
1931,12
1932,8
1933,9
1934,9
1935,11
1936,9
1937,5
1938,0
1939,13
1940,11
1941,6
1942,12
1943,5
1944,0
1945,8
1946,12
1947,8
1948,6
1949,9
1950,13
1951,6
1952,7
1953,10
1954,0
1955,0
1956,6
1957,9
1958,0
1959,9
1960,7
1961,6
1962,0
1963,0
1964,6
1965,7
1966,7
1967,0
1968,5
1969,0
1970,0
1971,10
1972,7
1973,0
1974,14
1975,7
1976,6
1977,6
1978,8
1979,6
1980,8
1981,8
1982,0
1983,0
1984,12
1985,14
1986,13
1987,15
1988,13
1989,13
1990,22
1991,24
1992,19
1993,29
1994,48
1995,87
1996,86
1997,85
1998,88
1999,63
2000,61
2001,56
2002,71
2003,68
2004,51
2005,75
2006,83
2007,83
2008,77
2009,96
2010,81
2011,64
2012,73
