year,Leopold
1880,8
1881,7
1882,0
1883,0
1884,0
1885,9
1886,7
1887,7
1888,6
1889,0
1890,8
1891,0
1892,10
1893,7
1894,0
1895,13
1896,8
1897,0
1898,9
1899,7
1900,10
1901,10
1902,11
1903,5
1904,0
1905,8
1906,8
1907,10
1908,12
1909,9
1910,14
1911,19
1912,37
1913,40
1914,57
1915,57
1916,79
1917,67
1918,50
1919,48
1920,67
1921,68
1922,68
1923,73
1924,66
1925,47
1926,55
1927,40
1928,40
1929,36
1930,27
1931,44
1932,34
1933,33
1934,35
1935,32
1936,25
1937,14
1938,13
1939,11
1940,23
1941,21
1942,14
1943,24
1944,15
1945,20
1946,14
1947,18
1948,20
1949,19
1950,20
1951,24
1952,19
1953,13
1954,21
1955,13
1956,18
1957,22
1958,17
1959,18
1960,18
1961,6
1962,10
1963,16
1964,21
1965,14
1966,16
1967,9
1968,5
1969,12
1970,16
1971,11
1972,14
1973,12
1974,6
1975,14
1976,12
1977,13
1978,12
1979,12
1980,6
1981,0
1982,17
1983,13
1984,9
1985,7
1986,10
1987,13
1988,11
1989,8
1990,12
1991,13
1992,7
1993,7
1994,14
1995,13
1996,12
1997,15
1998,18
1999,13
2000,9
2001,19
2002,45
2003,25
2004,35
2005,38
2006,35
2007,43
2008,52
2009,45
2010,55
2011,53
2012,60
