year,Leah
1880,54
1881,52
1882,56
1883,65
1884,79
1885,85
1886,83
1887,83
1888,118
1889,134
1890,162
1891,144
1892,163
1893,167
1894,182
1895,203
1896,169
1897,147
1898,185
1899,149
1900,166
1901,184
1902,171
1903,175
1904,149
1905,168
1906,164
1907,200
1908,194
1909,176
1910,207
1911,202
1912,302
1913,370
1914,457
1915,552
1916,514
1917,534
1918,588
1919,527
1920,523
1921,514
1922,485
1923,487
1924,505
1925,444
1926,436
1927,345
1928,404
1929,309
1930,326
1931,319
1932,295
1933,338
1934,395
1935,363
1936,346
1937,408
1938,376
1939,373
1940,365
1941,351
1942,330
1943,308
1944,305
1945,285
1946,324
1947,388
1948,387
1949,451
1950,443
1951,478
1952,498
1953,578
1954,556
1955,593
1956,668
1957,736
1958,668
1959,740
1960,771
1961,807
1962,983
1963,1304
1964,1419
1965,1389
1966,1379
1967,1605
1968,1622
1969,1497
1970,1681
1971,1698
1972,1601
1973,1586
1974,1848
1975,2131
1976,2280
1977,2597
1978,2718
1979,3091
1980,3654
1981,3819
1982,3785
1983,3496
1984,3540
1985,3593
1986,3466
1987,3464
1988,3568
1989,3807
1990,3933
1991,3819
1992,3435
1993,3418
1994,3205
1995,3279
1996,3318
1997,3202
1998,3220
1999,3283
2000,3400
2001,3520
2002,3605
2003,3920
2004,4756
2005,4606
2006,4655
2007,4541
2008,5632
2009,6788
2010,6530
2011,6382
2012,5757
