year,Lea
1880,7
1881,7
1882,6
1883,12
1884,15
1885,16
1886,7
1887,9
1888,17
1889,8
1890,18
1891,15
1892,14
1893,19
1894,32
1895,18
1896,23
1897,15
1898,30
1899,24
1900,37
1901,15
1902,25
1903,16
1904,15
1905,23
1906,24
1907,25
1908,35
1909,32
1910,23
1911,51
1912,50
1913,54
1914,62
1915,63
1916,94
1917,73
1918,112
1919,91
1920,74
1921,75
1922,93
1923,84
1924,74
1925,80
1926,88
1927,81
1928,82
1929,73
1930,87
1931,87
1932,61
1933,80
1934,81
1935,68
1936,68
1937,84
1938,72
1939,65
1940,83
1941,107
1942,105
1943,106
1944,83
1945,102
1946,129
1947,161
1948,158
1949,139
1950,159
1951,179
1952,216
1953,198
1954,242
1955,343
1956,390
1957,349
1958,455
1959,417
1960,379
1961,408
1962,425
1963,457
1964,415
1965,448
1966,464
1967,526
1968,498
1969,534
1970,600
1971,539
1972,445
1973,423
1974,459
1975,410
1976,350
1977,398
1978,393
1979,477
1980,463
1981,470
1982,391
1983,357
1984,409
1985,381
1986,345
1987,356
1988,406
1989,399
1990,464
1991,389
1992,357
1993,402
1994,378
1995,332
1996,408
1997,367
1998,365
1999,363
2000,367
2001,363
2002,382
2003,395
2004,445
2005,473
2006,480
2007,431
2008,478
2009,430
2010,513
2011,525
2012,467
