year,Larkin
1880,16
1881,10
1882,14
1883,6
1884,6
1885,10
1886,8
1887,0
1888,12
1889,10
1890,5
1891,0
1892,7
1893,6
1894,6
1895,10
1896,0
1897,0
1898,5
1899,7
1900,0
1901,0
1902,5
1903,9
1904,0
1905,12
1906,5
1907,0
1908,8
1909,10
1910,9
1911,9
1912,7
1913,14
1914,21
1915,26
1916,26
1917,22
1918,26
1919,30
1920,31
1921,19
1922,35
1923,35
1924,24
1925,25
1926,31
1927,21
1928,22
1929,16
1930,15
1931,20
1932,14
1933,15
1934,23
1935,11
1936,12
1937,16
1938,14
1939,17
1940,15
1941,18
1942,13
1943,21
1944,24
1945,14
1946,15
1947,19
1948,24
1949,17
1950,19
1951,16
1952,22
1953,22
1954,20
1955,16
1956,15
1957,16
1958,17
1959,18
1960,16
1961,19
1962,14
1963,11
1964,13
1965,9
1966,16
1967,8
1968,16
1969,13
1970,7
1971,13
1972,12
1973,8
1974,14
1975,17
1976,19
1977,25
1978,22
1979,17
1980,20
1981,18
1982,28
1983,20
1984,21
1985,26
1986,19
1987,31
1988,27
1989,27
1990,25
1991,27
1992,29
1993,32
1994,28
1995,23
1996,35
1997,35
1998,37
1999,33
2000,51
2001,43
2002,47
2003,51
2004,45
2005,58
2006,136
2007,122
2008,99
2009,104
2010,92
2011,75
2012,76
