year,Libby
1880,0
1881,5
1882,0
1883,0
1884,5
1885,10
1886,8
1887,8
1888,8
1889,5
1890,10
1891,9
1892,10
1893,5
1894,12
1895,14
1896,22
1897,10
1898,19
1899,17
1900,22
1901,17
1902,11
1903,15
1904,19
1905,24
1906,21
1907,23
1908,22
1909,31
1910,35
1911,44
1912,56
1913,53
1914,61
1915,108
1916,106
1917,107
1918,125
1919,114
1920,83
1921,104
1922,65
1923,80
1924,76
1925,59
1926,69
1927,93
1928,66
1929,77
1930,65
1931,69
1932,90
1933,113
1934,120
1935,95
1936,97
1937,97
1938,112
1939,92
1940,78
1941,101
1942,98
1943,100
1944,113
1945,106
1946,137
1947,155
1948,138
1949,140
1950,119
1951,120
1952,137
1953,148
1954,154
1955,140
1956,164
1957,209
1958,245
1959,239
1960,264
1961,257
1962,245
1963,221
1964,202
1965,181
1966,169
1967,203
1968,173
1969,154
1970,119
1971,111
1972,125
1973,139
1974,120
1975,119
1976,128
1977,98
1978,76
1979,84
1980,115
1981,98
1982,94
1983,93
1984,73
1985,92
1986,88
1987,96
1988,70
1989,68
1990,103
1991,88
1992,86
1993,89
1994,110
1995,141
1996,138
1997,147
1998,162
1999,150
2000,193
2001,212
2002,226
2003,255
2004,301
2005,332
2006,347
2007,323
2008,316
2009,355
2010,346
2011,279
2012,282
