year,Lovie
1880,14
1881,9
1882,11
1883,24
1884,14
1885,25
1886,26
1887,22
1888,27
1889,34
1890,25
1891,29
1892,51
1893,41
1894,46
1895,38
1896,51
1897,52
1898,52
1899,50
1900,57
1901,53
1902,54
1903,51
1904,42
1905,46
1906,46
1907,75
1908,62
1909,60
1910,81
1911,71
1912,101
1913,79
1914,100
1915,129
1916,126
1917,125
1918,132
1919,128
1920,114
1921,117
1922,121
1923,122
1924,118
1925,119
1926,117
1927,111
1928,105
1929,101
1930,111
1931,89
1932,86
1933,93
1934,88
1935,69
1936,83
1937,78
1938,72
1939,69
1940,85
1941,77
1942,73
1943,71
1944,70
1945,77
1946,59
1947,76
1948,54
1949,52
1950,46
1951,52
1952,53
1953,33
1954,54
1955,45
1956,43
1957,48
1958,49
1959,39
1960,28
1961,46
1962,39
1963,28
1964,22
1965,27
1966,36
1967,16
1968,23
1969,22
1970,15
1971,39
1972,19
1973,12
1974,15
1975,19
1976,19
1977,20
1978,19
1979,17
1980,18
1981,20
1982,25
1983,23
1984,22
1985,12
1986,19
1987,14
1988,20
1989,18
1990,15
1991,7
1992,16
1993,11
1994,6
1995,10
1996,9
1997,6
1998,8
1999,12
2000,12
2001,5
2002,16
2003,12
2004,11
2005,10
2006,14
2007,16
2008,15
2009,14
2010,9
2011,7
2012,5
