year,Leta
1880,18
1881,21
1882,15
1883,25
1884,22
1885,32
1886,24
1887,32
1888,41
1889,59
1890,63
1891,45
1892,56
1893,55
1894,65
1895,73
1896,76
1897,78
1898,95
1899,60
1900,93
1901,74
1902,82
1903,83
1904,86
1905,98
1906,81
1907,87
1908,83
1909,96
1910,97
1911,98
1912,130
1913,130
1914,153
1915,224
1916,219
1917,196
1918,233
1919,183
1920,225
1921,205
1922,201
1923,204
1924,183
1925,196
1926,224
1927,230
1928,214
1929,191
1930,212
1931,162
1932,160
1933,166
1934,169
1935,149
1936,154
1937,125
1938,146
1939,142
1940,134
1941,138
1942,112
1943,133
1944,135
1945,104
1946,120
1947,153
1948,132
1949,170
1950,137
1951,142
1952,161
1953,170
1954,182
1955,143
1956,138
1957,135
1958,119
1959,112
1960,136
1961,129
1962,100
1963,90
1964,87
1965,65
1966,64
1967,65
1968,65
1969,63
1970,50
1971,50
1972,41
1973,49
1974,35
1975,35
1976,39
1977,47
1978,33
1979,47
1980,41
1981,29
1982,35
1983,25
1984,30
1985,16
1986,17
1987,24
1988,21
1989,27
1990,23
1991,24
1992,10
1993,14
1994,17
1995,11
1996,16
1997,12
1998,14
1999,15
2000,12
2001,14
2002,15
2003,7
2004,20
2005,16
2006,11
2007,12
2008,11
2009,6
2010,11
2011,13
2012,0
