year,Leonie
1880,10
1881,8
1882,0
1883,7
1884,8
1885,10
1886,17
1887,12
1888,0
1889,21
1890,16
1891,14
1892,11
1893,11
1894,21
1895,18
1896,13
1897,9
1898,16
1899,18
1900,12
1901,15
1902,15
1903,16
1904,17
1905,10
1906,17
1907,16
1908,13
1909,6
1910,12
1911,8
1912,20
1913,15
1914,27
1915,23
1916,29
1917,18
1918,23
1919,18
1920,18
1921,21
1922,23
1923,24
1924,16
1925,13
1926,18
1927,17
1928,14
1929,6
1930,16
1931,11
1932,11
1933,6
1934,8
1935,13
1936,7
1937,0
1938,6
1939,11
1940,9
1941,11
1942,11
1943,10
1944,7
1945,7
1946,0
1947,5
1948,13
1949,0
1950,15
1951,7
1952,5
1953,8
1954,7
1955,8
1956,8
1957,5
1958,0
1959,10
1960,8
1961,5
1962,10
1963,6
1964,7
1965,11
1966,0
1967,12
1968,8
1969,6
1970,6
1971,0
1972,11
1973,5
1974,9
1975,7
1976,0
1977,8
1978,6
1979,5
1980,0
1981,6
1982,9
1983,10
1984,6
1985,0
1986,7
1987,5
1988,8
1989,12
1990,6
1991,11
1992,0
1993,5
1994,7
1995,0
1996,13
1997,6
1998,10
1999,17
2000,17
2001,15
2002,13
2003,13
2004,18
2005,14
2006,18
2007,18
2008,22
2009,21
2010,22
2011,32
2012,40
