year,Leatha
1880,6
1881,11
1882,5
1883,11
1884,10
1885,10
1886,11
1887,20
1888,11
1889,26
1890,29
1891,17
1892,21
1893,32
1894,37
1895,34
1896,41
1897,41
1898,37
1899,28
1900,67
1901,38
1902,35
1903,50
1904,35
1905,56
1906,41
1907,49
1908,46
1909,48
1910,61
1911,53
1912,84
1913,83
1914,76
1915,118
1916,138
1917,113
1918,126
1919,107
1920,118
1921,134
1922,100
1923,100
1924,108
1925,102
1926,99
1927,96
1928,79
1929,80
1930,60
1931,88
1932,75
1933,82
1934,87
1935,68
1936,77
1937,66
1938,70
1939,48
1940,66
1941,76
1942,45
1943,76
1944,67
1945,67
1946,56
1947,76
1948,67
1949,70
1950,72
1951,78
1952,70
1953,66
1954,59
1955,68
1956,75
1957,57
1958,66
1959,69
1960,72
1961,66
1962,57
1963,62
1964,76
1965,83
1966,60
1967,51
1968,46
1969,45
1970,41
1971,31
1972,28
1973,20
1974,33
1975,26
1976,26
1977,22
1978,16
1979,16
1980,17
1981,19
1982,13
1983,13
1984,12
1985,20
1986,5
1987,16
1988,8
1989,5
1990,10
1991,7
1992,9
1993,9
1994,0
1995,7
1996,11
1997,7
1998,7
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
