year,Lovey
1880,0
1881,0
1882,0
1883,5
1884,5
1885,0
1886,5
1887,0
1888,5
1889,0
1890,5
1891,0
1892,0
1893,0
1894,10
1895,6
1896,6
1897,5
1898,5
1899,0
1900,6
1901,7
1902,0
1903,11
1904,8
1905,7
1906,5
1907,0
1908,8
1909,10
1910,11
1911,6
1912,6
1913,8
1914,7
1915,13
1916,10
1917,13
1918,18
1919,16
1920,7
1921,13
1922,14
1923,13
1924,13
1925,22
1926,19
1927,13
1928,13
1929,9
1930,18
1931,10
1932,7
1933,11
1934,5
1935,7
1936,7
1937,7
1938,14
1939,5
1940,11
1941,0
1942,9
1943,7
1944,6
1945,9
1946,8
1947,8
1948,6
1949,5
1950,5
1951,8
1952,6
1953,8
1954,7
1955,5
1956,0
1957,9
1958,0
1959,11
1960,0
1961,9
1962,5
1963,8
1964,0
1965,0
1966,0
1967,0
1968,6
1969,5
1970,0
1971,0
1972,7
1973,0
1974,0
1975,5
1976,0
1977,6
1978,0
1979,5
1980,9
1981,0
1982,8
1983,0
1984,8
1985,6
1986,0
1987,7
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,7
2003,5
2004,8
2005,5
2006,9
2007,6
2008,0
2009,0
2010,9
2011,5
2012,5
