year,Leonardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,8
1906,0
1907,7
1908,5
1909,12
1910,12
1911,13
1912,14
1913,17
1914,31
1915,24
1916,26
1917,40
1918,40
1919,39
1920,52
1921,44
1922,46
1923,47
1924,48
1925,40
1926,60
1927,62
1928,50
1929,59
1930,42
1931,41
1932,43
1933,44
1934,50
1935,59
1936,35
1937,35
1938,38
1939,40
1940,38
1941,42
1942,41
1943,48
1944,57
1945,61
1946,67
1947,52
1948,55
1949,64
1950,65
1951,64
1952,82
1953,81
1954,95
1955,85
1956,84
1957,91
1958,105
1959,122
1960,104
1961,149
1962,139
1963,138
1964,129
1965,124
1966,162
1967,151
1968,142
1969,158
1970,196
1971,218
1972,244
1973,221
1974,268
1975,283
1976,253
1977,256
1978,244
1979,277
1980,343
1981,289
1982,321
1983,266
1984,294
1985,301
1986,315
1987,324
1988,355
1989,398
1990,559
1991,619
1992,614
1993,648
1994,621
1995,570
1996,582
1997,707
1998,1165
1999,1235
2000,1338
2001,1460
2002,1465
2003,1705
2004,1971
2005,2151
2006,2185
2007,2525
2008,2348
2009,2365
2010,2620
2011,2638
2012,2688
