year,Louie
1880,47
1881,59
1882,65
1883,68
1884,63
1885,62
1886,51
1887,59
1888,79
1889,67
1890,72
1891,45
1892,76
1893,59
1894,62
1895,75
1896,68
1897,66
1898,77
1899,72
1900,82
1901,69
1902,84
1903,65
1904,82
1905,91
1906,79
1907,100
1908,88
1909,101
1910,124
1911,121
1912,214
1913,245
1914,319
1915,420
1916,400
1917,445
1918,458
1919,501
1920,464
1921,471
1922,505
1923,509
1924,494
1925,466
1926,453
1927,419
1928,433
1929,405
1930,420
1931,378
1932,385
1933,367
1934,383
1935,365
1936,360
1937,347
1938,336
1939,368
1940,353
1941,356
1942,356
1943,343
1944,355
1945,340
1946,362
1947,376
1948,407
1949,402
1950,383
1951,396
1952,346
1953,341
1954,330
1955,351
1956,322
1957,360
1958,392
1959,331
1960,346
1961,341
1962,268
1963,282
1964,268
1965,259
1966,219
1967,181
1968,231
1969,181
1970,213
1971,203
1972,212
1973,213
1974,185
1975,164
1976,155
1977,151
1978,140
1979,183
1980,152
1981,145
1982,146
1983,134
1984,123
1985,126
1986,128
1987,139
1988,132
1989,117
1990,146
1991,144
1992,108
1993,121
1994,90
1995,96
1996,103
1997,105
1998,121
1999,100
2000,108
2001,86
2002,88
2003,86
2004,84
2005,98
2006,108
2007,96
2008,100
2009,108
2010,125
2011,136
2012,143
