year,Lawson
1880,20
1881,12
1882,21
1883,18
1884,11
1885,12
1886,19
1887,16
1888,20
1889,12
1890,17
1891,14
1892,22
1893,8
1894,19
1895,9
1896,12
1897,9
1898,15
1899,11
1900,17
1901,22
1902,20
1903,12
1904,23
1905,16
1906,17
1907,19
1908,12
1909,12
1910,15
1911,24
1912,35
1913,48
1914,53
1915,64
1916,57
1917,80
1918,78
1919,79
1920,86
1921,63
1922,79
1923,78
1924,73
1925,62
1926,70
1927,64
1928,53
1929,62
1930,52
1931,47
1932,52
1933,49
1934,46
1935,52
1936,42
1937,41
1938,55
1939,59
1940,42
1941,57
1942,64
1943,55
1944,53
1945,38
1946,49
1947,58
1948,60
1949,45
1950,49
1951,49
1952,45
1953,40
1954,40
1955,47
1956,38
1957,36
1958,38
1959,33
1960,38
1961,38
1962,32
1963,32
1964,24
1965,20
1966,31
1967,29
1968,23
1969,29
1970,26
1971,19
1972,30
1973,23
1974,19
1975,17
1976,17
1977,26
1978,15
1979,27
1980,23
1981,17
1982,22
1983,23
1984,31
1985,20
1986,26
1987,26
1988,41
1989,48
1990,38
1991,35
1992,52
1993,61
1994,72
1995,68
1996,65
1997,90
1998,107
1999,145
2000,175
2001,165
2002,203
2003,227
2004,279
2005,309
2006,351
2007,382
2008,342
2009,405
2010,418
2011,441
2012,508
