year,Leila
1880,80
1881,77
1882,83
1883,90
1884,103
1885,123
1886,115
1887,112
1888,170
1889,126
1890,154
1891,178
1892,178
1893,173
1894,152
1895,147
1896,149
1897,157
1898,161
1899,139
1900,178
1901,145
1902,140
1903,138
1904,148
1905,154
1906,160
1907,171
1908,150
1909,145
1910,163
1911,143
1912,195
1913,234
1914,259
1915,363
1916,368
1917,352
1918,369
1919,384
1920,405
1921,345
1922,364
1923,334
1924,365
1925,344
1926,313
1927,306
1928,279
1929,285
1930,317
1931,287
1932,305
1933,294
1934,241
1935,240
1936,184
1937,239
1938,190
1939,177
1940,182
1941,217
1942,203
1943,204
1944,197
1945,176
1946,166
1947,176
1948,156
1949,181
1950,168
1951,154
1952,162
1953,176
1954,195
1955,177
1956,180
1957,178
1958,157
1959,192
1960,172
1961,191
1962,190
1963,171
1964,162
1965,135
1966,175
1967,141
1968,105
1969,136
1970,132
1971,163
1972,141
1973,145
1974,155
1975,157
1976,159
1977,192
1978,186
1979,196
1980,184
1981,222
1982,210
1983,213
1984,203
1985,220
1986,210
1987,214
1988,221
1989,199
1990,182
1991,198
1992,197
1993,199
1994,186
1995,216
1996,179
1997,213
1998,297
1999,306
2000,427
2001,565
2002,638
2003,893
2004,893
2005,1041
2006,1161
2007,1390
2008,1498
2009,1387
2010,1507
2011,1373
2012,1360
