year,Larue
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,9
1896,9
1897,11
1898,15
1899,10
1900,12
1901,15
1902,12
1903,14
1904,9
1905,14
1906,16
1907,22
1908,20
1909,19
1910,24
1911,24
1912,56
1913,43
1914,72
1915,113
1916,105
1917,130
1918,148
1919,131
1920,185
1921,147
1922,145
1923,154
1924,118
1925,147
1926,145
1927,161
1928,156
1929,104
1930,131
1931,127
1932,136
1933,92
1934,100
1935,116
1936,103
1937,105
1938,97
1939,92
1940,79
1941,89
1942,61
1943,82
1944,75
1945,51
1946,68
1947,75
1948,70
1949,59
1950,43
1951,53
1952,59
1953,51
1954,46
1955,42
1956,46
1957,47
1958,47
1959,41
1960,32
1961,26
1962,40
1963,29
1964,28
1965,11
1966,28
1967,15
1968,13
1969,24
1970,22
1971,11
1972,14
1973,19
1974,12
1975,23
1976,13
1977,9
1978,7
1979,12
1980,16
1981,9
1982,9
1983,10
1984,9
1985,8
1986,12
1987,8
1988,0
1989,8
1990,0
1991,11
1992,6
1993,5
1994,9
1995,5
1996,0
1997,6
1998,8
1999,5
2000,9
2001,0
2002,0
2003,5
2004,0
2005,7
2006,6
2007,0
2008,0
2009,0
2010,0
2011,6
2012,13
