year,London
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,5
1914,0
1915,10
1916,6
1917,15
1918,13
1919,16
1920,8
1921,6
1922,7
1923,11
1924,6
1925,12
1926,7
1927,12
1928,7
1929,8
1930,9
1931,0
1932,0
1933,7
1934,6
1935,6
1936,0
1937,0
1938,5
1939,7
1940,0
1941,11
1942,0
1943,7
1944,7
1945,8
1946,7
1947,8
1948,7
1949,10
1950,8
1951,0
1952,11
1953,11
1954,6
1955,7
1956,6
1957,6
1958,7
1959,8
1960,7
1961,10
1962,13
1963,15
1964,15
1965,20
1966,39
1967,34
1968,47
1969,53
1970,43
1971,50
1972,41
1973,36
1974,29
1975,28
1976,35
1977,45
1978,29
1979,29
1980,34
1981,40
1982,34
1983,54
1984,56
1985,58
1986,90
1987,113
1988,143
1989,181
1990,209
1991,241
1992,237
1993,240
1994,295
1995,249
1996,301
1997,311
1998,302
1999,352
2000,445
2001,455
2002,465
2003,505
2004,613
2005,842
2006,1308
2007,1558
2008,2635
2009,3146
2010,3378
2011,3611
2012,3676
