year,Lue
1880,19
1881,29
1882,35
1883,20
1884,31
1885,30
1886,46
1887,26
1888,35
1889,38
1890,36
1891,38
1892,34
1893,36
1894,35
1895,41
1896,32
1897,35
1898,34
1899,33
1900,60
1901,35
1902,57
1903,50
1904,37
1905,48
1906,45
1907,67
1908,48
1909,53
1910,70
1911,80
1912,77
1913,91
1914,86
1915,115
1916,113
1917,139
1918,128
1919,176
1920,141
1921,126
1922,162
1923,167
1924,165
1925,161
1926,134
1927,151
1928,140
1929,152
1930,143
1931,113
1932,125
1933,110
1934,148
1935,123
1936,118
1937,110
1938,112
1939,98
1940,120
1941,122
1942,131
1943,96
1944,101
1945,97
1946,94
1947,102
1948,81
1949,78
1950,68
1951,70
1952,70
1953,89
1954,94
1955,88
1956,62
1957,58
1958,44
1959,43
1960,56
1961,42
1962,30
1963,25
1964,34
1965,11
1966,14
1967,15
1968,18
1969,11
1970,20
1971,9
1972,11
1973,8
1974,0
1975,0
1976,6
1977,11
1978,0
1979,7
1980,0
1981,13
1982,6
1983,7
1984,0
1985,19
1986,11
1987,6
1988,9
1989,15
1990,18
1991,11
1992,8
1993,10
1994,12
1995,9
1996,7
1997,8
1998,0
1999,0
2000,8
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,5
2010,0
2011,0
2012,0
