year,Lorna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,6
1889,5
1890,0
1891,8
1892,12
1893,17
1894,14
1895,19
1896,20
1897,24
1898,28
1899,21
1900,30
1901,26
1902,26
1903,31
1904,38
1905,31
1906,38
1907,41
1908,41
1909,51
1910,51
1911,85
1912,104
1913,109
1914,135
1915,204
1916,218
1917,211
1918,218
1919,222
1920,234
1921,277
1922,250
1923,363
1924,304
1925,334
1926,295
1927,320
1928,348
1929,296
1930,329
1931,389
1932,386
1933,324
1934,309
1935,330
1936,290
1937,311
1938,330
1939,367
1940,416
1941,464
1942,525
1943,441
1944,388
1945,427
1946,427
1947,474
1948,433
1949,441
1950,463
1951,515
1952,662
1953,718
1954,708
1955,740
1956,704
1957,757
1958,689
1959,691
1960,678
1961,592
1962,565
1963,483
1964,528
1965,508
1966,365
1967,366
1968,281
1969,295
1970,234
1971,207
1972,173
1973,125
1974,145
1975,133
1976,104
1977,99
1978,98
1979,80
1980,83
1981,93
1982,75
1983,91
1984,108
1985,111
1986,116
1987,79
1988,78
1989,82
1990,68
1991,72
1992,77
1993,92
1994,79
1995,69
1996,88
1997,62
1998,62
1999,78
2000,69
2001,80
2002,64
2003,81
2004,65
2005,69
2006,67
2007,51
2008,46
2009,38
2010,32
2011,28
2012,47
