year,Lennis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,9
1899,8
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,6
1912,16
1913,0
1914,15
1915,21
1916,24
1917,40
1918,22
1919,16
1920,21
1921,27
1922,24
1923,31
1924,21
1925,21
1926,41
1927,21
1928,26
1929,34
1930,27
1931,27
1932,26
1933,27
1934,30
1935,22
1936,29
1937,25
1938,27
1939,36
1940,28
1941,34
1942,26
1943,34
1944,29
1945,25
1946,37
1947,51
1948,45
1949,35
1950,30
1951,38
1952,40
1953,40
1954,41
1955,32
1956,30
1957,31
1958,28
1959,22
1960,31
1961,18
1962,25
1963,16
1964,13
1965,17
1966,12
1967,14
1968,17
1969,15
1970,12
1971,12
1972,0
1973,5
1974,7
1975,10
1976,8
1977,19
1978,5
1979,0
1980,6
1981,10
1982,0
1983,9
1984,7
1985,9
1986,6
1987,0
1988,5
1989,6
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,13
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
