year,Levy
1880,6
1881,7
1882,9
1883,7
1884,7
1885,8
1886,9
1887,12
1888,13
1889,8
1890,13
1891,7
1892,14
1893,5
1894,15
1895,15
1896,11
1897,14
1898,10
1899,7
1900,17
1901,10
1902,9
1903,8
1904,8
1905,9
1906,14
1907,20
1908,10
1909,9
1910,19
1911,19
1912,25
1913,21
1914,25
1915,42
1916,32
1917,39
1918,52
1919,51
1920,49
1921,46
1922,54
1923,44
1924,37
1925,43
1926,44
1927,36
1928,38
1929,32
1930,29
1931,40
1932,25
1933,19
1934,20
1935,38
1936,22
1937,28
1938,32
1939,22
1940,22
1941,23
1942,19
1943,33
1944,27
1945,26
1946,18
1947,24
1948,20
1949,39
1950,32
1951,31
1952,30
1953,22
1954,22
1955,22
1956,29
1957,17
1958,22
1959,25
1960,21
1961,20
1962,15
1963,18
1964,20
1965,17
1966,15
1967,23
1968,12
1969,18
1970,14
1971,13
1972,17
1973,12
1974,15
1975,16
1976,25
1977,16
1978,14
1979,17
1980,25
1981,23
1982,18
1983,17
1984,23
1985,20
1986,17
1987,20
1988,28
1989,22
1990,21
1991,19
1992,27
1993,28
1994,22
1995,15
1996,27
1997,17
1998,22
1999,24
2000,20
2001,28
2002,26
2003,17
2004,27
2005,30
2006,38
2007,24
2008,30
2009,31
2010,35
2011,48
2012,58
