year,Leone
1880,7
1881,10
1882,11
1883,5
1884,12
1885,12
1886,12
1887,17
1888,17
1889,22
1890,26
1891,22
1892,37
1893,44
1894,36
1895,47
1896,43
1897,51
1898,69
1899,42
1900,67
1901,83
1902,79
1903,66
1904,97
1905,102
1906,94
1907,81
1908,107
1909,98
1910,98
1911,111
1912,139
1913,167
1914,177
1915,225
1916,262
1917,222
1918,258
1919,204
1920,207
1921,195
1922,176
1923,169
1924,157
1925,148
1926,119
1927,127
1928,111
1929,83
1930,90
1931,89
1932,76
1933,70
1934,78
1935,85
1936,46
1937,49
1938,54
1939,44
1940,38
1941,38
1942,37
1943,36
1944,40
1945,41
1946,40
1947,22
1948,34
1949,30
1950,22
1951,22
1952,28
1953,36
1954,16
1955,21
1956,21
1957,14
1958,16
1959,9
1960,11
1961,14
1962,7
1963,14
1964,14
1965,6
1966,6
1967,8
1968,15
1969,6
1970,7
1971,0
1972,5
1973,5
1974,0
1975,0
1976,0
1977,6
1978,0
1979,5
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,5
1994,0
1995,0
1996,6
1997,7
1998,0
1999,7
2000,0
2001,7
2002,5
2003,0
2004,7
2005,14
2006,7
2007,0
2008,13
2009,10
2010,15
2011,9
2012,16
