year,Linnie
1880,41
1881,65
1882,41
1883,76
1884,74
1885,55
1886,74
1887,82
1888,95
1889,93
1890,88
1891,79
1892,104
1893,100
1894,78
1895,96
1896,81
1897,98
1898,87
1899,75
1900,120
1901,84
1902,98
1903,90
1904,85
1905,114
1906,74
1907,84
1908,115
1909,100
1910,93
1911,85
1912,127
1913,135
1914,128
1915,186
1916,188
1917,178
1918,184
1919,163
1920,185
1921,190
1922,156
1923,137
1924,143
1925,189
1926,130
1927,133
1928,136
1929,100
1930,121
1931,111
1932,113
1933,105
1934,87
1935,111
1936,90
1937,95
1938,93
1939,81
1940,94
1941,97
1942,88
1943,84
1944,91
1945,74
1946,65
1947,84
1948,79
1949,88
1950,68
1951,68
1952,78
1953,65
1954,61
1955,48
1956,39
1957,55
1958,50
1959,56
1960,50
1961,49
1962,45
1963,42
1964,24
1965,35
1966,23
1967,25
1968,24
1969,25
1970,25
1971,28
1972,28
1973,10
1974,9
1975,19
1976,23
1977,18
1978,7
1979,11
1980,5
1981,11
1982,6
1983,8
1984,8
1985,6
1986,6
1987,12
1988,8
1989,10
1990,0
1991,0
1992,8
1993,0
1994,0
1995,5
1996,0
1997,0
1998,7
1999,5
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,5
2008,0
2009,5
2010,0
2011,5
2012,0
