year,Lanie
1880,6
1881,0
1882,0
1883,5
1884,0
1885,6
1886,0
1887,8
1888,9
1889,9
1890,5
1891,0
1892,6
1893,9
1894,11
1895,0
1896,6
1897,7
1898,8
1899,7
1900,7
1901,8
1902,6
1903,7
1904,8
1905,7
1906,9
1907,7
1908,7
1909,9
1910,10
1911,9
1912,11
1913,14
1914,16
1915,19
1916,12
1917,13
1918,18
1919,19
1920,17
1921,10
1922,12
1923,15
1924,14
1925,10
1926,5
1927,7
1928,14
1929,17
1930,8
1931,12
1932,7
1933,6
1934,5
1935,8
1936,7
1937,0
1938,6
1939,0
1940,10
1941,6
1942,10
1943,9
1944,15
1945,12
1946,14
1947,16
1948,10
1949,14
1950,7
1951,12
1952,6
1953,9
1954,9
1955,12
1956,8
1957,18
1958,11
1959,14
1960,14
1961,10
1962,14
1963,13
1964,5
1965,13
1966,16
1967,14
1968,20
1969,39
1970,35
1971,20
1972,27
1973,21
1974,31
1975,15
1976,17
1977,17
1978,28
1979,24
1980,40
1981,32
1982,24
1983,31
1984,19
1985,20
1986,15
1987,21
1988,22
1989,47
1990,69
1991,82
1992,67
1993,45
1994,54
1995,58
1996,54
1997,56
1998,57
1999,90
2000,112
2001,135
2002,165
2003,209
2004,199
2005,212
2006,225
2007,207
2008,189
2009,154
2010,183
2011,192
2012,119
