year,Landis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,5
1911,0
1912,6
1913,7
1914,7
1915,13
1916,17
1917,14
1918,13
1919,12
1920,23
1921,18
1922,17
1923,21
1924,28
1925,11
1926,22
1927,17
1928,9
1929,10
1930,14
1931,9
1932,12
1933,9
1934,11
1935,25
1936,11
1937,7
1938,13
1939,14
1940,18
1941,20
1942,18
1943,28
1944,13
1945,33
1946,29
1947,35
1948,26
1949,18
1950,29
1951,27
1952,24
1953,25
1954,34
1955,17
1956,26
1957,19
1958,11
1959,19
1960,23
1961,15
1962,12
1963,18
1964,25
1965,12
1966,11
1967,11
1968,16
1969,19
1970,24
1971,18
1972,16
1973,14
1974,15
1975,7
1976,17
1977,12
1978,29
1979,29
1980,13
1981,26
1982,19
1983,23
1984,31
1985,25
1986,32
1987,38
1988,38
1989,34
1990,31
1991,26
1992,26
1993,33
1994,18
1995,25
1996,25
1997,39
1998,36
1999,17
2000,34
2001,32
2002,32
2003,34
2004,36
2005,31
2006,44
2007,43
2008,42
2009,36
2010,29
2011,35
2012,37
