year,Lorin
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,8
1892,5
1893,0
1894,5
1895,0
1896,5
1897,8
1898,6
1899,0
1900,7
1901,0
1902,6
1903,5
1904,5
1905,9
1906,6
1907,8
1908,9
1909,8
1910,0
1911,8
1912,26
1913,44
1914,49
1915,62
1916,68
1917,42
1918,58
1919,48
1920,60
1921,64
1922,56
1923,67
1924,58
1925,60
1926,65
1927,57
1928,53
1929,59
1930,56
1931,49
1932,47
1933,42
1934,42
1935,49
1936,36
1937,36
1938,43
1939,43
1940,46
1941,64
1942,55
1943,60
1944,49
1945,52
1946,75
1947,84
1948,75
1949,88
1950,89
1951,72
1952,74
1953,97
1954,69
1955,75
1956,85
1957,82
1958,76
1959,82
1960,89
1961,76
1962,85
1963,88
1964,120
1965,136
1966,122
1967,80
1968,69
1969,92
1970,90
1971,70
1972,86
1973,68
1974,74
1975,59
1976,69
1977,72
1978,70
1979,64
1980,98
1981,90
1982,64
1983,97
1984,99
1985,83
1986,118
1987,113
1988,97
1989,139
1990,116
1991,92
1992,115
1993,104
1994,107
1995,94
1996,86
1997,76
1998,69
1999,87
2000,68
2001,65
2002,62
2003,64
2004,44
2005,41
2006,33
2007,48
2008,26
2009,34
2010,23
2011,20
2012,27
