year,Lilian
1880,19
1881,16
1882,24
1883,17
1884,22
1885,22
1886,24
1887,16
1888,22
1889,31
1890,21
1891,28
1892,24
1893,28
1894,22
1895,42
1896,37
1897,26
1898,33
1899,19
1900,30
1901,23
1902,18
1903,36
1904,28
1905,28
1906,28
1907,29
1908,32
1909,30
1910,33
1911,34
1912,53
1913,55
1914,53
1915,75
1916,85
1917,77
1918,105
1919,67
1920,81
1921,54
1922,60
1923,51
1924,42
1925,38
1926,48
1927,31
1928,32
1929,16
1930,20
1931,24
1932,30
1933,23
1934,16
1935,14
1936,17
1937,8
1938,8
1939,13
1940,13
1941,19
1942,14
1943,21
1944,17
1945,10
1946,12
1947,21
1948,11
1949,16
1950,15
1951,18
1952,8
1953,18
1954,16
1955,18
1956,18
1957,22
1958,27
1959,30
1960,42
1961,26
1962,25
1963,22
1964,24
1965,30
1966,34
1967,35
1968,38
1969,39
1970,42
1971,39
1972,45
1973,50
1974,60
1975,42
1976,50
1977,40
1978,51
1979,53
1980,54
1981,64
1982,58
1983,60
1984,68
1985,66
1986,61
1987,89
1988,99
1989,97
1990,147
1991,163
1992,129
1993,154
1994,143
1995,151
1996,186
1997,213
1998,264
1999,265
2000,328
2001,359
2002,439
2003,496
2004,541
2005,650
2006,723
2007,784
2008,728
2009,728
2010,681
2011,646
2012,672
