year,Lynwood
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,6
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,11
1912,14
1913,24
1914,27
1915,27
1916,44
1917,42
1918,42
1919,64
1920,41
1921,44
1922,48
1923,50
1924,51
1925,50
1926,43
1927,62
1928,49
1929,51
1930,54
1931,51
1932,50
1933,54
1934,112
1935,114
1936,82
1937,72
1938,83
1939,71
1940,86
1941,95
1942,95
1943,88
1944,78
1945,73
1946,84
1947,82
1948,104
1949,79
1950,77
1951,90
1952,81
1953,76
1954,78
1955,73
1956,69
1957,58
1958,75
1959,57
1960,51
1961,48
1962,48
1963,47
1964,52
1965,48
1966,38
1967,41
1968,47
1969,38
1970,33
1971,36
1972,28
1973,36
1974,30
1975,31
1976,21
1977,14
1978,27
1979,19
1980,18
1981,17
1982,20
1983,13
1984,9
1985,18
1986,17
1987,16
1988,9
1989,20
1990,14
1991,9
1992,12
1993,9
1994,8
1995,5
1996,7
1997,10
1998,10
1999,5
2000,5
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
