year,Luisa
1880,0
1881,0
1882,8
1883,5
1884,0
1885,6
1886,6
1887,9
1888,6
1889,6
1890,10
1891,5
1892,12
1893,9
1894,12
1895,8
1896,11
1897,12
1898,14
1899,12
1900,12
1901,13
1902,16
1903,11
1904,16
1905,18
1906,16
1907,13
1908,22
1909,12
1910,24
1911,34
1912,27
1913,29
1914,33
1915,32
1916,40
1917,43
1918,58
1919,46
1920,55
1921,72
1922,59
1923,59
1924,82
1925,55
1926,63
1927,73
1928,69
1929,44
1930,56
1931,43
1932,41
1933,37
1934,33
1935,26
1936,37
1937,31
1938,30
1939,30
1940,34
1941,40
1942,30
1943,29
1944,39
1945,31
1946,41
1947,45
1948,45
1949,63
1950,62
1951,67
1952,63
1953,59
1954,64
1955,73
1956,69
1957,73
1958,86
1959,96
1960,87
1961,101
1962,97
1963,84
1964,93
1965,107
1966,103
1967,96
1968,100
1969,98
1970,121
1971,106
1972,96
1973,116
1974,80
1975,115
1976,124
1977,107
1978,120
1979,146
1980,118
1981,137
1982,151
1983,143
1984,170
1985,125
1986,124
1987,159
1988,169
1989,181
1990,201
1991,180
1992,188
1993,180
1994,177
1995,189
1996,189
1997,169
1998,195
1999,248
2000,218
2001,211
2002,236
2003,223
2004,234
2005,226
2006,260
2007,230
2008,198
2009,210
2010,208
2011,224
2012,180
