year,Lucilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,10
1910,0
1911,7
1912,10
1913,13
1914,5
1915,11
1916,0
1917,15
1918,13
1919,11
1920,10
1921,11
1922,17
1923,14
1924,15
1925,17
1926,13
1927,15
1928,8
1929,12
1930,11
1931,11
1932,11
1933,0
1934,10
1935,12
1936,6
1937,7
1938,17
1939,10
1940,9
1941,9
1942,10
1943,12
1944,16
1945,8
1946,7
1947,11
1948,16
1949,13
1950,10
1951,9
1952,10
1953,9
1954,15
1955,19
1956,11
1957,10
1958,5
1959,18
1960,6
1961,13
1962,12
1963,8
1964,11
1965,6
1966,0
1967,11
1968,7
1969,9
1970,10
1971,9
1972,5
1973,11
1974,9
1975,5
1976,0
1977,7
1978,8
1979,0
1980,9
1981,0
1982,0
1983,0
1984,8
1985,0
1986,5
1987,0
1988,6
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,12
2010,10
2011,12
2012,8
