year,Lynnette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,5
1917,0
1918,8
1919,5
1920,6
1921,14
1922,0
1923,5
1924,8
1925,8
1926,8
1927,7
1928,10
1929,14
1930,11
1931,12
1932,11
1933,15
1934,20
1935,13
1936,22
1937,22
1938,31
1939,41
1940,59
1941,89
1942,94
1943,102
1944,107
1945,132
1946,180
1947,223
1948,191
1949,284
1950,260
1951,271
1952,285
1953,311
1954,347
1955,357
1956,399
1957,390
1958,408
1959,414
1960,479
1961,458
1962,457
1963,495
1964,507
1965,428
1966,487
1967,474
1968,473
1969,452
1970,451
1971,402
1972,335
1973,262
1974,251
1975,213
1976,243
1977,195
1978,187
1979,164
1980,159
1981,166
1982,163
1983,129
1984,136
1985,125
1986,131
1987,126
1988,120
1989,118
1990,99
1991,82
1992,70
1993,64
1994,55
1995,59
1996,39
1997,37
1998,46
1999,28
2000,36
2001,39
2002,33
2003,31
2004,24
2005,31
2006,26
2007,34
2008,33
2009,28
2010,32
2011,23
2012,22
