year,Lottie
1880,245
1881,289
1882,319
1883,372
1884,397
1885,393
1886,450
1887,414
1888,517
1889,498
1890,502
1891,501
1892,552
1893,532
1894,597
1895,553
1896,574
1897,523
1898,586
1899,584
1900,690
1901,498
1902,537
1903,509
1904,497
1905,547
1906,529
1907,517
1908,580
1909,588
1910,639
1911,620
1912,772
1913,844
1914,1060
1915,1244
1916,1397
1917,1370
1918,1380
1919,1373
1920,1240
1921,1214
1922,1095
1923,1098
1924,978
1925,856
1926,774
1927,779
1928,657
1929,683
1930,561
1931,508
1932,468
1933,467
1934,451
1935,392
1936,370
1937,366
1938,313
1939,358
1940,327
1941,338
1942,319
1943,289
1944,281
1945,255
1946,219
1947,262
1948,262
1949,255
1950,212
1951,190
1952,202
1953,171
1954,199
1955,149
1956,157
1957,129
1958,138
1959,135
1960,115
1961,113
1962,90
1963,95
1964,97
1965,82
1966,69
1967,69
1968,74
1969,55
1970,56
1971,62
1972,52
1973,32
1974,54
1975,35
1976,40
1977,43
1978,24
1979,25
1980,37
1981,26
1982,37
1983,26
1984,32
1985,25
1986,31
1987,23
1988,32
1989,25
1990,28
1991,26
1992,28
1993,22
1994,14
1995,20
1996,19
1997,22
1998,18
1999,22
2000,13
2001,18
2002,22
2003,29
2004,22
2005,19
2006,19
2007,22
2008,30
2009,33
2010,32
2011,38
2012,59
