year,Leala
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,8
1907,0
1908,7
1909,0
1910,9
1911,0
1912,7
1913,12
1914,8
1915,10
1916,0
1917,8
1918,11
1919,0
1920,0
1921,8
1922,8
1923,6
1924,11
1925,7
1926,0
1927,6
1928,9
1929,0
1930,8
1931,7
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,5
1939,8
1940,0
1941,7
1942,5
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,6
1950,5
1951,6
1952,0
1953,0
1954,0
1955,0
1956,5
1957,5
1958,5
1959,5
1960,0
1961,0
1962,6
1963,6
1964,14
1965,5
1966,9
1967,8
1968,6
1969,0
1970,0
1971,5
1972,5
1973,6
1974,0
1975,7
1976,0
1977,5
1978,0
1979,9
1980,9
1981,6
1982,6
1983,8
1984,9
1985,5
1986,6
1987,5
1988,8
1989,7
1990,0
1991,0
1992,5
1993,6
1994,9
1995,0
1996,5
1997,9
1998,0
1999,9
2000,6
2001,15
2002,21
2003,21
2004,19
2005,30
2006,32
2007,31
2008,24
2009,28
2010,28
2011,30
2012,27
