year,Lorene
1880,5
1881,0
1882,0
1883,5
1884,6
1885,0
1886,5
1887,9
1888,11
1889,25
1890,26
1891,22
1892,16
1893,30
1894,42
1895,51
1896,44
1897,64
1898,75
1899,65
1900,104
1901,106
1902,137
1903,116
1904,133
1905,171
1906,195
1907,199
1908,218
1909,274
1910,290
1911,380
1912,500
1913,559
1914,722
1915,944
1916,1043
1917,1062
1918,1244
1919,1300
1920,1360
1921,1315
1922,1245
1923,1235
1924,1181
1925,1156
1926,1018
1927,1000
1928,935
1929,853
1930,860
1931,745
1932,769
1933,615
1934,641
1935,545
1936,527
1937,527
1938,514
1939,473
1940,445
1941,439
1942,429
1943,408
1944,370
1945,361
1946,356
1947,406
1948,372
1949,320
1950,305
1951,317
1952,306
1953,311
1954,430
1955,370
1956,350
1957,331
1958,305
1959,344
1960,302
1961,308
1962,276
1963,271
1964,264
1965,216
1966,196
1967,176
1968,133
1969,176
1970,153
1971,125
1972,109
1973,75
1974,88
1975,56
1976,78
1977,64
1978,59
1979,78
1980,53
1981,57
1982,57
1983,55
1984,48
1985,40
1986,48
1987,33
1988,36
1989,39
1990,35
1991,26
1992,35
1993,38
1994,31
1995,24
1996,35
1997,27
1998,23
1999,19
2000,29
2001,33
2002,18
2003,23
2004,21
2005,30
2006,17
2007,15
2008,17
2009,19
2010,20
2011,11
2012,15
