year,Letha
1880,25
1881,31
1882,40
1883,29
1884,48
1885,43
1886,50
1887,45
1888,63
1889,59
1890,89
1891,82
1892,107
1893,106
1894,95
1895,117
1896,128
1897,140
1898,157
1899,129
1900,182
1901,147
1902,159
1903,165
1904,155
1905,174
1906,169
1907,181
1908,198
1909,197
1910,202
1911,225
1912,261
1913,313
1914,347
1915,452
1916,451
1917,442
1918,473
1919,450
1920,437
1921,428
1922,398
1923,406
1924,401
1925,382
1926,397
1927,327
1928,309
1929,295
1930,296
1931,249
1932,250
1933,235
1934,248
1935,223
1936,213
1937,224
1938,212
1939,193
1940,196
1941,190
1942,163
1943,171
1944,185
1945,160
1946,149
1947,205
1948,166
1949,154
1950,160
1951,131
1952,133
1953,166
1954,157
1955,173
1956,213
1957,156
1958,171
1959,202
1960,180
1961,169
1962,171
1963,158
1964,170
1965,185
1966,161
1967,131
1968,89
1969,96
1970,94
1971,95
1972,90
1973,79
1974,55
1975,46
1976,47
1977,57
1978,61
1979,48
1980,38
1981,49
1982,35
1983,27
1984,25
1985,24
1986,22
1987,32
1988,23
1989,25
1990,12
1991,16
1992,23
1993,13
1994,12
1995,11
1996,17
1997,8
1998,0
1999,14
2000,6
2001,8
2002,8
2003,0
2004,8
2005,0
2006,0
2007,11
2008,0
2009,5
2010,0
2011,6
2012,6
