year,Leamon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,6
1901,6
1902,6
1903,6
1904,0
1905,8
1906,5
1907,13
1908,9
1909,9
1910,12
1911,13
1912,17
1913,22
1914,36
1915,39
1916,36
1917,36
1918,52
1919,58
1920,63
1921,64
1922,52
1923,53
1924,61
1925,51
1926,48
1927,52
1928,50
1929,53
1930,49
1931,46
1932,37
1933,52
1934,56
1935,46
1936,38
1937,50
1938,48
1939,46
1940,46
1941,44
1942,45
1943,37
1944,38
1945,41
1946,33
1947,35
1948,37
1949,33
1950,39
1951,33
1952,42
1953,22
1954,34
1955,39
1956,19
1957,36
1958,32
1959,26
1960,25
1961,29
1962,18
1963,24
1964,15
1965,19
1966,18
1967,17
1968,23
1969,26
1970,15
1971,17
1972,13
1973,13
1974,11
1975,15
1976,10
1977,17
1978,12
1979,11
1980,11
1981,13
1982,16
1983,6
1984,12
1985,5
1986,0
1987,13
1988,10
1989,9
1990,14
1991,0
1992,7
1993,7
1994,9
1995,7
1996,5
1997,0
1998,5
1999,5
2000,7
2001,0
2002,0
2003,0
2004,10
2005,0
2006,0
2007,5
2008,5
2009,0
2010,7
2011,0
2012,0
