year,Loris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,8
1907,0
1908,5
1909,0
1910,0
1911,0
1912,18
1913,16
1914,29
1915,38
1916,36
1917,32
1918,54
1919,36
1920,44
1921,42
1922,46
1923,59
1924,64
1925,52
1926,63
1927,48
1928,60
1929,53
1930,53
1931,67
1932,38
1933,39
1934,49
1935,78
1936,59
1937,43
1938,32
1939,46
1940,33
1941,41
1942,31
1943,36
1944,28
1945,22
1946,39
1947,45
1948,31
1949,36
1950,41
1951,38
1952,29
1953,28
1954,37
1955,25
1956,31
1957,23
1958,20
1959,18
1960,14
1961,32
1962,23
1963,16
1964,15
1965,17
1966,9
1967,5
1968,16
1969,18
1970,6
1971,11
1972,19
1973,9
1974,5
1975,8
1976,0
1977,6
1978,9
1979,6
1980,9
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,8
1988,5
1989,5
1990,7
1991,0
1992,5
1993,0
1994,5
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
