year,Linton
1880,0
1881,0
1882,0
1883,5
1884,0
1885,6
1886,6
1887,5
1888,0
1889,11
1890,0
1891,6
1892,0
1893,0
1894,8
1895,0
1896,7
1897,7
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,0
1905,5
1906,5
1907,8
1908,11
1909,0
1910,5
1911,10
1912,21
1913,13
1914,21
1915,22
1916,33
1917,36
1918,25
1919,45
1920,39
1921,31
1922,50
1923,40
1924,39
1925,23
1926,33
1927,36
1928,32
1929,35
1930,28
1931,27
1932,24
1933,26
1934,35
1935,30
1936,37
1937,28
1938,41
1939,25
1940,37
1941,25
1942,44
1943,38
1944,24
1945,24
1946,47
1947,44
1948,41
1949,41
1950,37
1951,31
1952,38
1953,31
1954,37
1955,30
1956,37
1957,25
1958,20
1959,22
1960,31
1961,8
1962,28
1963,27
1964,24
1965,16
1966,14
1967,19
1968,25
1969,20
1970,25
1971,16
1972,18
1973,16
1974,14
1975,16
1976,11
1977,16
1978,10
1979,12
1980,14
1981,14
1982,21
1983,15
1984,12
1985,8
1986,19
1987,9
1988,13
1989,15
1990,7
1991,11
1992,14
1993,0
1994,10
1995,0
1996,12
1997,6
1998,14
1999,5
2000,11
2001,7
2002,0
2003,5
2004,5
2005,0
2006,8
2007,7
2008,0
2009,5
2010,8
2011,6
2012,6
