year,Lina
1880,49
1881,39
1882,41
1883,38
1884,44
1885,43
1886,43
1887,50
1888,45
1889,52
1890,63
1891,50
1892,60
1893,51
1894,57
1895,61
1896,66
1897,53
1898,44
1899,52
1900,65
1901,55
1902,39
1903,46
1904,43
1905,44
1906,50
1907,80
1908,48
1909,57
1910,68
1911,61
1912,66
1913,76
1914,91
1915,99
1916,101
1917,115
1918,104
1919,103
1920,110
1921,122
1922,109
1923,98
1924,114
1925,104
1926,91
1927,89
1928,75
1929,101
1930,91
1931,74
1932,70
1933,73
1934,71
1935,70
1936,48
1937,76
1938,70
1939,64
1940,62
1941,62
1942,53
1943,67
1944,54
1945,53
1946,57
1947,73
1948,100
1949,74
1950,65
1951,70
1952,59
1953,70
1954,52
1955,88
1956,79
1957,83
1958,89
1959,91
1960,77
1961,81
1962,63
1963,113
1964,83
1965,99
1966,93
1967,112
1968,86
1969,99
1970,97
1971,91
1972,92
1973,96
1974,102
1975,107
1976,119
1977,117
1978,102
1979,122
1980,152
1981,132
1982,132
1983,130
1984,125
1985,128
1986,141
1987,152
1988,137
1989,147
1990,153
1991,170
1992,186
1993,162
1994,162
1995,163
1996,177
1997,189
1998,160
1999,197
2000,180
2001,214
2002,224
2003,251
2004,274
2005,250
2006,264
2007,279
2008,299
2009,280
2010,314
2011,309
2012,354
