year,Lotus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,11
1897,5
1898,0
1899,0
1900,0
1901,9
1902,5
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,6
1910,0
1911,8
1912,12
1913,12
1914,16
1915,30
1916,28
1917,23
1918,17
1919,20
1920,20
1921,30
1922,25
1923,27
1924,21
1925,30
1926,22
1927,15
1928,24
1929,17
1930,12
1931,21
1932,21
1933,13
1934,16
1935,20
1936,13
1937,17
1938,11
1939,17
1940,15
1941,7
1942,10
1943,10
1944,6
1945,9
1946,13
1947,5
1948,14
1949,0
1950,14
1951,10
1952,9
1953,0
1954,10
1955,10
1956,8
1957,6
1958,5
1959,5
1960,7
1961,0
1962,0
1963,5
1964,0
1965,5
1966,6
1967,0
1968,0
1969,0
1970,0
1971,7
1972,8
1973,10
1974,0
1975,0
1976,15
1977,6
1978,0
1979,0
1980,9
1981,5
1982,5
1983,5
1984,6
1985,0
1986,0
1987,0
1988,5
1989,0
1990,6
1991,0
1992,0
1993,5
1994,6
1995,9
1996,0
1997,10
1998,10
1999,10
2000,12
2001,15
2002,19
2003,19
2004,24
2005,39
2006,32
2007,43
2008,56
2009,70
2010,52
2011,52
2012,74
