year,Lelah
1880,0
1881,10
1882,11
1883,13
1884,12
1885,18
1886,15
1887,17
1888,19
1889,24
1890,28
1891,29
1892,30
1893,32
1894,26
1895,27
1896,23
1897,33
1898,39
1899,27
1900,33
1901,19
1902,24
1903,24
1904,26
1905,20
1906,19
1907,16
1908,13
1909,17
1910,25
1911,18
1912,21
1913,27
1914,24
1915,43
1916,37
1917,43
1918,29
1919,42
1920,35
1921,38
1922,38
1923,31
1924,25
1925,33
1926,29
1927,35
1928,20
1929,22
1930,20
1931,23
1932,25
1933,21
1934,17
1935,16
1936,13
1937,12
1938,16
1939,10
1940,13
1941,9
1942,8
1943,8
1944,6
1945,9
1946,8
1947,6
1948,7
1949,8
1950,0
1951,9
1952,5
1953,10
1954,6
1955,5
1956,6
1957,5
1958,5
1959,0
1960,7
1961,6
1962,5
1963,0
1964,0
1965,5
1966,6
1967,6
1968,0
1969,7
1970,6
1971,5
1972,9
1973,6
1974,8
1975,10
1976,0
1977,10
1978,5
1979,5
1980,9
1981,5
1982,7
1983,0
1984,9
1985,0
1986,6
1987,9
1988,9
1989,5
1990,0
1991,7
1992,7
1993,0
1994,0
1995,0
1996,10
1997,0
1998,0
1999,6
2000,8
2001,8
2002,9
2003,8
2004,16
2005,28
2006,26
2007,23
2008,27
2009,21
2010,22
2011,19
2012,21
