year,Lyndell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,11
1915,19
1916,18
1917,17
1918,21
1919,15
1920,26
1921,25
1922,21
1923,27
1924,19
1925,24
1926,28
1927,30
1928,18
1929,21
1930,18
1931,46
1932,34
1933,28
1934,28
1935,25
1936,32
1937,33
1938,34
1939,32
1940,43
1941,33
1942,61
1943,51
1944,47
1945,34
1946,44
1947,48
1948,50
1949,51
1950,55
1951,60
1952,46
1953,53
1954,39
1955,44
1956,41
1957,45
1958,34
1959,40
1960,48
1961,48
1962,33
1963,45
1964,52
1965,40
1966,49
1967,38
1968,38
1969,27
1970,32
1971,43
1972,28
1973,32
1974,37
1975,14
1976,32
1977,18
1978,21
1979,15
1980,15
1981,26
1982,19
1983,10
1984,15
1985,22
1986,15
1987,14
1988,16
1989,26
1990,17
1991,21
1992,17
1993,16
1994,11
1995,12
1996,11
1997,9
1998,12
1999,8
2000,11
2001,5
2002,5
2003,12
2004,6
2005,12
2006,15
2007,12
2008,11
2009,7
2010,5
2011,10
2012,0
