year,Leanna
1880,7
1881,8
1882,10
1883,9
1884,8
1885,9
1886,14
1887,5
1888,14
1889,6
1890,13
1891,12
1892,18
1893,9
1894,13
1895,17
1896,16
1897,11
1898,14
1899,10
1900,19
1901,8
1902,11
1903,14
1904,8
1905,17
1906,10
1907,26
1908,13
1909,12
1910,20
1911,19
1912,26
1913,16
1914,23
1915,35
1916,33
1917,43
1918,36
1919,46
1920,35
1921,41
1922,49
1923,52
1924,58
1925,42
1926,52
1927,77
1928,64
1929,42
1930,50
1931,59
1932,38
1933,34
1934,48
1935,46
1936,39
1937,67
1938,60
1939,65
1940,79
1941,104
1942,101
1943,85
1944,92
1945,74
1946,107
1947,131
1948,82
1949,115
1950,163
1951,144
1952,125
1953,120
1954,125
1955,105
1956,106
1957,136
1958,173
1959,139
1960,143
1961,171
1962,196
1963,194
1964,172
1965,190
1966,187
1967,190
1968,206
1969,214
1970,233
1971,216
1972,218
1973,201
1974,198
1975,202
1976,202
1977,241
1978,250
1979,299
1980,308
1981,307
1982,311
1983,280
1984,329
1985,340
1986,323
1987,337
1988,503
1989,658
1990,675
1991,598
1992,510
1993,460
1994,440
1995,427
1996,451
1997,457
1998,427
1999,370
2000,414
2001,399
2002,371
2003,365
2004,344
2005,356
2006,368
2007,391
2008,407
2009,404
2010,404
2011,406
2012,371
