year,Laurene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,5
1897,9
1898,7
1899,5
1900,0
1901,0
1902,7
1903,7
1904,7
1905,9
1906,11
1907,5
1908,5
1909,14
1910,15
1911,16
1912,17
1913,24
1914,24
1915,26
1916,38
1917,42
1918,58
1919,44
1920,60
1921,54
1922,36
1923,57
1924,66
1925,58
1926,52
1927,32
1928,33
1929,35
1930,46
1931,25
1932,27
1933,34
1934,41
1935,43
1936,31
1937,36
1938,40
1939,46
1940,37
1941,45
1942,52
1943,72
1944,45
1945,72
1946,83
1947,75
1948,61
1949,95
1950,83
1951,71
1952,80
1953,98
1954,136
1955,108
1956,112
1957,109
1958,126
1959,117
1960,124
1961,131
1962,88
1963,87
1964,75
1965,57
1966,73
1967,50
1968,46
1969,35
1970,43
1971,26
1972,19
1973,17
1974,15
1975,8
1976,26
1977,17
1978,6
1979,12
1980,25
1981,13
1982,11
1983,20
1984,15
1985,13
1986,13
1987,20
1988,16
1989,15
1990,12
1991,15
1992,5
1993,6
1994,8
1995,0
1996,0
1997,0
1998,8
1999,9
2000,6
2001,0
2002,7
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
