year,Lala
1880,0
1881,0
1882,0
1883,0
1884,6
1885,6
1886,9
1887,6
1888,8
1889,9
1890,7
1891,7
1892,11
1893,9
1894,16
1895,17
1896,17
1897,16
1898,10
1899,9
1900,25
1901,10
1902,18
1903,11
1904,12
1905,12
1906,13
1907,13
1908,15
1909,9
1910,12
1911,17
1912,28
1913,21
1914,26
1915,37
1916,38
1917,33
1918,33
1919,33
1920,28
1921,39
1922,34
1923,36
1924,39
1925,37
1926,34
1927,28
1928,27
1929,33
1930,21
1931,27
1932,27
1933,21
1934,25
1935,11
1936,18
1937,11
1938,14
1939,19
1940,18
1941,20
1942,14
1943,14
1944,14
1945,11
1946,8
1947,15
1948,17
1949,17
1950,15
1951,15
1952,10
1953,22
1954,9
1955,9
1956,8
1957,0
1958,8
1959,0
1960,8
1961,9
1962,8
1963,7
1964,6
1965,5
1966,7
1967,8
1968,10
1969,0
1970,0
1971,0
1972,0
1973,7
1974,6
1975,0
1976,10
1977,6
1978,7
1979,0
1980,7
1981,7
1982,7
1983,0
1984,6
1985,0
1986,7
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,5
1999,10
2000,7
2001,8
2002,6
2003,11
2004,13
2005,15
2006,11
2007,7
2008,10
2009,5
2010,10
2011,10
2012,12
