year,Lanora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,8
1903,0
1904,6
1905,5
1906,8
1907,0
1908,7
1909,5
1910,5
1911,0
1912,7
1913,13
1914,11
1915,15
1916,21
1917,18
1918,25
1919,22
1920,19
1921,24
1922,27
1923,25
1924,23
1925,30
1926,16
1927,23
1928,26
1929,17
1930,24
1931,26
1932,17
1933,26
1934,30
1935,31
1936,26
1937,28
1938,23
1939,31
1940,27
1941,28
1942,34
1943,25
1944,19
1945,13
1946,28
1947,20
1948,20
1949,23
1950,24
1951,16
1952,25
1953,22
1954,26
1955,16
1956,29
1957,16
1958,28
1959,23
1960,27
1961,25
1962,26
1963,19
1964,38
1965,35
1966,26
1967,35
1968,18
1969,40
1970,31
1971,24
1972,21
1973,21
1974,17
1975,21
1976,20
1977,18
1978,10
1979,22
1980,20
1981,12
1982,28
1983,13
1984,15
1985,13
1986,23
1987,12
1988,16
1989,14
1990,19
1991,12
1992,13
1993,13
1994,10
1995,12
1996,6
1997,12
1998,8
1999,8
2000,8
2001,9
2002,5
2003,7
2004,10
2005,6
2006,7
2007,9
2008,8
2009,12
2010,9
2011,7
2012,10
