year,Lafe
1880,9
1881,6
1882,0
1883,0
1884,17
1885,10
1886,6
1887,6
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,7
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,7
1914,5
1915,9
1916,17
1917,5
1918,15
1919,11
1920,5
1921,6
1922,11
1923,8
1924,12
1925,9
1926,11
1927,7
1928,10
1929,8
1930,6
1931,7
1932,11
1933,6
1934,6
1935,7
1936,0
1937,5
1938,9
1939,0
1940,0
1941,6
1942,8
1943,5
1944,7
1945,5
1946,5
1947,6
1948,7
1949,0
1950,5
1951,5
1952,6
1953,5
1954,6
1955,10
1956,0
1957,0
1958,6
1959,10
1960,0
1961,14
1962,11
1963,0
1964,14
1965,10
1966,0
1967,5
1968,6
1969,0
1970,0
1971,9
1972,5
1973,5
1974,5
1975,11
1976,6
1977,5
1978,8
1979,14
1980,7
1981,8
1982,8
1983,14
1984,12
1985,7
1986,5
1987,8
1988,7
1989,0
1990,5
1991,6
1992,5
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,6
2004,0
2005,5
2006,11
2007,0
2008,0
2009,0
2010,6
2011,0
2012,6
