year,Leonidas
1880,5
1881,0
1882,6
1883,0
1884,0
1885,5
1886,0
1887,6
1888,0
1889,0
1890,0
1891,0
1892,8
1893,6
1894,0
1895,5
1896,0
1897,0
1898,7
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,13
1914,12
1915,15
1916,19
1917,24
1918,18
1919,21
1920,28
1921,14
1922,19
1923,19
1924,21
1925,19
1926,14
1927,15
1928,19
1929,12
1930,12
1931,11
1932,12
1933,10
1934,8
1935,8
1936,13
1937,15
1938,10
1939,9
1940,11
1941,7
1942,0
1943,9
1944,8
1945,6
1946,7
1947,9
1948,8
1949,6
1950,9
1951,7
1952,0
1953,12
1954,9
1955,9
1956,6
1957,11
1958,10
1959,10
1960,5
1961,14
1962,11
1963,10
1964,15
1965,6
1966,17
1967,14
1968,11
1969,9
1970,13
1971,15
1972,11
1973,10
1974,13
1975,15
1976,17
1977,6
1978,10
1979,23
1980,14
1981,10
1982,18
1983,13
1984,16
1985,18
1986,11
1987,9
1988,11
1989,20
1990,18
1991,17
1992,19
1993,11
1994,10
1995,10
1996,10
1997,12
1998,18
1999,10
2000,16
2001,14
2002,13
2003,28
2004,22
2005,27
2006,19
2007,152
2008,240
2009,201
2010,218
2011,233
2012,288
