year,Lura
1880,53
1881,46
1882,47
1883,65
1884,73
1885,88
1886,77
1887,87
1888,91
1889,100
1890,110
1891,102
1892,83
1893,103
1894,109
1895,93
1896,94
1897,82
1898,90
1899,82
1900,87
1901,82
1902,107
1903,87
1904,93
1905,98
1906,82
1907,87
1908,97
1909,100
1910,95
1911,100
1912,118
1913,97
1914,156
1915,178
1916,184
1917,230
1918,200
1919,200
1920,188
1921,184
1922,193
1923,177
1924,175
1925,169
1926,141
1927,162
1928,122
1929,117
1930,125
1931,124
1932,116
1933,82
1934,98
1935,104
1936,74
1937,81
1938,85
1939,73
1940,84
1941,64
1942,75
1943,70
1944,57
1945,80
1946,98
1947,103
1948,76
1949,82
1950,77
1951,71
1952,66
1953,62
1954,52
1955,71
1956,68
1957,48
1958,58
1959,54
1960,53
1961,52
1962,59
1963,47
1964,62
1965,40
1966,30
1967,42
1968,38
1969,46
1970,40
1971,26
1972,24
1973,41
1974,22
1975,21
1976,22
1977,32
1978,33
1979,22
1980,24
1981,32
1982,30
1983,25
1984,28
1985,22
1986,31
1987,30
1988,17
1989,13
1990,21
1991,20
1992,22
1993,23
1994,13
1995,15
1996,15
1997,8
1998,12
1999,5
2000,18
2001,8
2002,12
2003,12
2004,7
2005,9
2006,0
2007,5
2008,17
2009,10
2010,9
2011,0
2012,9
