year,Lauretta
1880,6
1881,15
1882,12
1883,13
1884,10
1885,13
1886,20
1887,17
1888,38
1889,29
1890,39
1891,36
1892,41
1893,36
1894,38
1895,55
1896,61
1897,56
1898,60
1899,42
1900,83
1901,54
1902,55
1903,63
1904,86
1905,53
1906,49
1907,68
1908,69
1909,74
1910,86
1911,94
1912,110
1913,116
1914,145
1915,224
1916,223
1917,188
1918,224
1919,210
1920,180
1921,188
1922,214
1923,178
1924,189
1925,201
1926,154
1927,182
1928,155
1929,135
1930,136
1931,130
1932,115
1933,110
1934,114
1935,122
1936,137
1937,104
1938,120
1939,133
1940,133
1941,118
1942,112
1943,110
1944,98
1945,112
1946,128
1947,142
1948,121
1949,127
1950,129
1951,113
1952,132
1953,121
1954,135
1955,142
1956,124
1957,128
1958,123
1959,109
1960,95
1961,95
1962,78
1963,64
1964,77
1965,71
1966,61
1967,60
1968,43
1969,29
1970,48
1971,36
1972,28
1973,24
1974,27
1975,13
1976,23
1977,18
1978,12
1979,12
1980,13
1981,31
1982,24
1983,10
1984,14
1985,18
1986,17
1987,10
1988,9
1989,11
1990,10
1991,16
1992,12
1993,13
1994,6
1995,12
1996,11
1997,6
1998,7
1999,0
2000,7
2001,6
2002,0
2003,0
2004,12
2005,5
2006,0
2007,0
2008,7
2009,6
2010,0
2011,0
2012,5
